AgeGroup,IncomeBracket,InitialProductInterest,ConversionProbability
Senior (50+),80K-120K,Credit Card,0.809
Young (<30),40K-80K,Investment,0.574
Young (<30),<40K,Mortgage,0.253
Senior (50+),40K-80K,Credit Card,0.579
Senior (50+),80K-120K,Credit Card,0.709
Young (<30),80K-120K,Credit Card,0.785
Mid-Age (30–50),40K-80K,Credit Card,0.813
Senior (50+),80K-120K,Mortgage,0.628
Mid-Age (30–50),40K-80K,Credit Card,0.883
Young (<30),40K-80K,Mortgage,0.934
Mid-Age (30–50),80K-120K,Mortgage,1.0
Young (<30),40K-80K,Investment,0.873
Mid-Age (30–50),40K-80K,Chequing Account,0.637
Young (<30),40K-80K,Mortgage,0.822
Young (<30),80K-120K,Credit Card,0.933
Young (<30),80K-120K,Credit Card,0.804
Young (<30),40K-80K,Credit Card,0.357
Mid-Age (30–50),40K-80K,Investment,0.381
Mid-Age (30–50),80K-120K,Credit Card,0.973
Mid-Age (30–50),40K-80K,Chequing Account,0.604
Senior (50+),40K-80K,Chequing Account,0.794
Mid-Age (30–50),40K-80K,Credit Card,0.953
Mid-Age (30–50),40K-80K,Credit Card,0.531
Young (<30),40K-80K,Credit Card,0.886
Mid-Age (30–50),80K-120K,Credit Card,0.749
Mid-Age (30–50),40K-80K,Chequing Account,0.974
Mid-Age (30–50),40K-80K,Credit Card,0.596
Senior (50+),40K-80K,Credit Card,0.518
Mid-Age (30–50),80K-120K,Chequing Account,0.652
Young (<30),40K-80K,Chequing Account,0.693
Senior (50+),40K-80K,Credit Card,0.592
Senior (50+),80K-120K,Mortgage,0.935
Senior (50+),40K-80K,Investment,0.754
Young (<30),40K-80K,Investment,0.497
Senior (50+),40K-80K,Credit Card,0.669
Mid-Age (30–50),80K-120K,Chequing Account,0.899
Mid-Age (30–50),80K-120K,Chequing Account,1.0
Young (<30),80K-120K,Mortgage,0.666
Mid-Age (30–50),40K-80K,Chequing Account,0.855
Young (<30),80K-120K,Investment,0.718
Mid-Age (30–50),40K-80K,Mortgage,0.621
Senior (50+),80K-120K,Credit Card,0.89
Senior (50+),40K-80K,Credit Card,0.806
Mid-Age (30–50),40K-80K,Credit Card,0.759
Mid-Age (30–50),40K-80K,Mortgage,0.688
Young (<30),80K-120K,Chequing Account,0.736
Young (<30),80K-120K,Chequing Account,0.589
Mid-Age (30–50),80K-120K,Chequing Account,0.822
Mid-Age (30–50),80K-120K,Chequing Account,1.0
Young (<30),80K-120K,Mortgage,1.0
Senior (50+),40K-80K,Credit Card,0.558
Mid-Age (30–50),40K-80K,Investment,0.519
Senior (50+),40K-80K,Credit Card,0.465
Mid-Age (30–50),80K-120K,Credit Card,0.933
Mid-Age (30–50),80K-120K,Investment,1.0
Senior (50+),80K-120K,Credit Card,0.735
Young (<30),40K-80K,Credit Card,0.643
Young (<30),80K-120K,Investment,0.716
Mid-Age (30–50),40K-80K,Investment,0.665
Mid-Age (30–50),40K-80K,Investment,0.506
Mid-Age (30–50),40K-80K,Chequing Account,0.828
Mid-Age (30–50),80K-120K,Credit Card,0.595
Senior (50+),40K-80K,Chequing Account,0.418
Mid-Age (30–50),80K-120K,Investment,0.967
Mid-Age (30–50),40K-80K,Chequing Account,0.854
Senior (50+),120K–200K,Chequing Account,1.0
Young (<30),<40K,Credit Card,0.42
Senior (50+),80K-120K,Mortgage,0.726
Mid-Age (30–50),80K-120K,Mortgage,0.613
Mid-Age (30–50),40K-80K,Mortgage,1.0
Senior (50+),120K–200K,Investment,0.907
Mid-Age (30–50),80K-120K,Investment,0.867
Senior (50+),80K-120K,Mortgage,0.641
Senior (50+),40K-80K,Mortgage,0.678
Mid-Age (30–50),40K-80K,Credit Card,0.727
Mid-Age (30–50),40K-80K,Mortgage,0.768
Senior (50+),80K-120K,Credit Card,1.0
Senior (50+),<40K,Credit Card,0.379
Young (<30),40K-80K,Mortgage,0.985
Senior (50+),40K-80K,Mortgage,0.614
Mid-Age (30–50),40K-80K,Chequing Account,0.546
Senior (50+),80K-120K,Mortgage,0.642
Mid-Age (30–50),40K-80K,Chequing Account,0.781
Senior (50+),40K-80K,Chequing Account,0.524
Senior (50+),40K-80K,Mortgage,0.784
Mid-Age (30–50),40K-80K,Mortgage,0.935
Senior (50+),40K-80K,Investment,0.739
Young (<30),80K-120K,Mortgage,1.0
Mid-Age (30–50),80K-120K,Mortgage,0.69
Young (<30),80K-120K,Credit Card,0.78
Mid-Age (30–50),80K-120K,Credit Card,0.791
Mid-Age (30–50),<40K,Investment,0.849
Young (<30),40K-80K,Mortgage,0.83
Mid-Age (30–50),40K-80K,Mortgage,0.653
Senior (50+),40K-80K,Chequing Account,0.582
Young (<30),40K-80K,Chequing Account,0.55
Mid-Age (30–50),40K-80K,Chequing Account,0.805
Mid-Age (30–50),40K-80K,Investment,0.383
Mid-Age (30–50),40K-80K,Investment,0.812
Young (<30),80K-120K,Chequing Account,0.689
Senior (50+),40K-80K,Chequing Account,0.859
Mid-Age (30–50),80K-120K,Chequing Account,0.82
Mid-Age (30–50),80K-120K,Investment,0.82
Mid-Age (30–50),40K-80K,Credit Card,0.91
Mid-Age (30–50),40K-80K,Credit Card,0.661
Mid-Age (30–50),80K-120K,Mortgage,0.728
Mid-Age (30–50),<40K,Mortgage,0.87
Mid-Age (30–50),80K-120K,Investment,0.997
Senior (50+),80K-120K,Mortgage,0.936
Senior (50+),40K-80K,Chequing Account,0.409
Mid-Age (30–50),40K-80K,Credit Card,0.578
Young (<30),40K-80K,Investment,0.684
Senior (50+),80K-120K,Credit Card,0.995
Young (<30),80K-120K,Investment,0.693
Young (<30),40K-80K,Investment,0.732
Mid-Age (30–50),40K-80K,Credit Card,0.999
Mid-Age (30–50),80K-120K,Mortgage,0.84
Mid-Age (30–50),80K-120K,Chequing Account,0.715
Young (<30),40K-80K,Mortgage,0.603
Senior (50+),40K-80K,Mortgage,0.721
Senior (50+),80K-120K,Chequing Account,0.721
Mid-Age (30–50),<40K,Investment,0.457
Mid-Age (30–50),40K-80K,Chequing Account,0.852
Mid-Age (30–50),40K-80K,Mortgage,0.51
Senior (50+),40K-80K,Investment,0.558
Mid-Age (30–50),80K-120K,Credit Card,1.0
Senior (50+),40K-80K,Mortgage,0.57
Mid-Age (30–50),80K-120K,Chequing Account,0.762
Mid-Age (30–50),80K-120K,Mortgage,0.874
Senior (50+),80K-120K,Credit Card,0.984
Senior (50+),<40K,Mortgage,0.595
Senior (50+),40K-80K,Mortgage,0.653
Mid-Age (30–50),80K-120K,Credit Card,1.0
Senior (50+),80K-120K,Mortgage,0.99
Mid-Age (30–50),40K-80K,Credit Card,0.604
Mid-Age (30–50),80K-120K,Investment,0.694
Senior (50+),40K-80K,Investment,0.611
Senior (50+),<40K,Mortgage,0.562
Senior (50+),40K-80K,Investment,0.636
Young (<30),80K-120K,Mortgage,0.837
Mid-Age (30–50),40K-80K,Mortgage,0.44
Young (<30),80K-120K,Chequing Account,0.824
Mid-Age (30–50),80K-120K,Credit Card,0.886
Young (<30),40K-80K,Chequing Account,0.765
Mid-Age (30–50),40K-80K,Investment,0.746
Mid-Age (30–50),40K-80K,Mortgage,0.795
Young (<30),40K-80K,Investment,0.699
Young (<30),40K-80K,Chequing Account,0.851
Senior (50+),80K-120K,Credit Card,1.0
Young (<30),40K-80K,Chequing Account,0.81
Mid-Age (30–50),80K-120K,Mortgage,0.811
Senior (50+),40K-80K,Mortgage,0.596
Senior (50+),<40K,Credit Card,0.3
Young (<30),40K-80K,Mortgage,0.842
Mid-Age (30–50),40K-80K,Credit Card,0.652
Senior (50+),40K-80K,Chequing Account,0.825
Senior (50+),40K-80K,Mortgage,0.671
Senior (50+),40K-80K,Credit Card,0.928
Mid-Age (30–50),80K-120K,Chequing Account,1.0
Senior (50+),80K-120K,Chequing Account,0.795
Mid-Age (30–50),40K-80K,Chequing Account,0.828
Senior (50+),80K-120K,Mortgage,0.758
Senior (50+),80K-120K,Credit Card,1.0
Senior (50+),40K-80K,Mortgage,0.498
Mid-Age (30–50),40K-80K,Credit Card,0.603
Senior (50+),40K-80K,Credit Card,0.835
Young (<30),80K-120K,Chequing Account,0.881
Mid-Age (30–50),80K-120K,Mortgage,1.0
Senior (50+),<40K,Chequing Account,0.829
Mid-Age (30–50),40K-80K,Credit Card,0.733
Senior (50+),80K-120K,Investment,1.0
Senior (50+),80K-120K,Credit Card,0.783
Mid-Age (30–50),40K-80K,Chequing Account,0.884
Mid-Age (30–50),80K-120K,Chequing Account,0.837
Young (<30),80K-120K,Mortgage,0.948
Young (<30),<40K,Chequing Account,0.421
Senior (50+),40K-80K,Chequing Account,0.814
Senior (50+),<40K,Investment,0.382
Mid-Age (30–50),<40K,Chequing Account,0.502
Senior (50+),<40K,Credit Card,0.634
Mid-Age (30–50),40K-80K,Chequing Account,0.71
Young (<30),80K-120K,Chequing Account,0.849
Young (<30),40K-80K,Investment,0.695
Mid-Age (30–50),80K-120K,Chequing Account,0.734
Young (<30),40K-80K,Mortgage,1.0
Mid-Age (30–50),80K-120K,Investment,0.606
Senior (50+),80K-120K,Credit Card,0.675
Senior (50+),40K-80K,Chequing Account,0.351
Mid-Age (30–50),40K-80K,Chequing Account,0.898
Senior (50+),40K-80K,Chequing Account,0.685
Senior (50+),40K-80K,Chequing Account,0.674
Mid-Age (30–50),80K-120K,Investment,1.0
Senior (50+),80K-120K,Mortgage,1.0
Young (<30),40K-80K,Credit Card,0.779
Mid-Age (30–50),40K-80K,Chequing Account,0.872
Senior (50+),40K-80K,Mortgage,0.671
Young (<30),80K-120K,Credit Card,1.0
Young (<30),80K-120K,Investment,0.97
Senior (50+),80K-120K,Credit Card,0.922
Mid-Age (30–50),40K-80K,Credit Card,0.652
Mid-Age (30–50),40K-80K,Chequing Account,0.598
Senior (50+),<40K,Credit Card,0.588
Senior (50+),80K-120K,Mortgage,0.763
Mid-Age (30–50),80K-120K,Credit Card,0.746
Senior (50+),120K–200K,Mortgage,0.862
Senior (50+),80K-120K,Chequing Account,0.78
Senior (50+),80K-120K,Investment,0.763
Mid-Age (30–50),80K-120K,Mortgage,0.845
Young (<30),40K-80K,Chequing Account,0.827
Senior (50+),80K-120K,Credit Card,0.888
Young (<30),80K-120K,Chequing Account,1.0
Senior (50+),40K-80K,Credit Card,0.534
Mid-Age (30–50),80K-120K,Investment,0.684
Mid-Age (30–50),80K-120K,Chequing Account,1.0
Senior (50+),40K-80K,Investment,0.989
Senior (50+),80K-120K,Investment,0.784
Young (<30),80K-120K,Credit Card,1.0
Mid-Age (30–50),80K-120K,Credit Card,1.0
Senior (50+),80K-120K,Credit Card,0.91
Mid-Age (30–50),<40K,Credit Card,0.7
Mid-Age (30–50),40K-80K,Investment,0.743
Mid-Age (30–50),40K-80K,Chequing Account,0.524
Mid-Age (30–50),40K-80K,Investment,0.624
Mid-Age (30–50),80K-120K,Mortgage,0.825
Senior (50+),40K-80K,Mortgage,0.676
Young (<30),40K-80K,Chequing Account,0.599
Mid-Age (30–50),40K-80K,Mortgage,0.637
Mid-Age (30–50),40K-80K,Chequing Account,0.596
Senior (50+),40K-80K,Chequing Account,0.952
Mid-Age (30–50),40K-80K,Investment,0.41
Senior (50+),80K-120K,Investment,1.0
Senior (50+),40K-80K,Credit Card,0.931
Young (<30),200K+,Mortgage,0.549
Senior (50+),40K-80K,Investment,0.701
Mid-Age (30–50),40K-80K,Chequing Account,0.963
Senior (50+),80K-120K,Investment,1.0
Young (<30),<40K,Credit Card,0.44
Senior (50+),40K-80K,Mortgage,0.95
Young (<30),40K-80K,Chequing Account,0.665
Mid-Age (30–50),40K-80K,Credit Card,0.617
Young (<30),40K-80K,Credit Card,0.728
Mid-Age (30–50),40K-80K,Chequing Account,0.527
Mid-Age (30–50),40K-80K,Mortgage,0.633
Senior (50+),80K-120K,Chequing Account,0.841
Mid-Age (30–50),80K-120K,Investment,1.0
Senior (50+),40K-80K,Mortgage,0.54
Mid-Age (30–50),80K-120K,Mortgage,0.759
Senior (50+),80K-120K,Mortgage,0.737
Mid-Age (30–50),80K-120K,Credit Card,0.943
Senior (50+),40K-80K,Chequing Account,0.904
Senior (50+),40K-80K,Investment,0.844
Mid-Age (30–50),40K-80K,Credit Card,0.497
Mid-Age (30–50),80K-120K,Mortgage,0.875
Mid-Age (30–50),40K-80K,Mortgage,0.897
Mid-Age (30–50),40K-80K,Mortgage,0.904
Young (<30),120K–200K,Mortgage,1.0
Young (<30),40K-80K,Credit Card,0.545
Mid-Age (30–50),40K-80K,Investment,0.666
Mid-Age (30–50),80K-120K,Chequing Account,0.779
Senior (50+),<40K,Credit Card,0.447
Senior (50+),40K-80K,Credit Card,0.635
Mid-Age (30–50),40K-80K,Investment,0.663
Young (<30),40K-80K,Credit Card,0.603
Senior (50+),80K-120K,Credit Card,0.984
Mid-Age (30–50),40K-80K,Credit Card,0.459
Senior (50+),40K-80K,Mortgage,0.864
Senior (50+),40K-80K,Chequing Account,0.735
Senior (50+),40K-80K,Credit Card,0.527
Senior (50+),40K-80K,Credit Card,0.826
Mid-Age (30–50),40K-80K,Credit Card,0.616
Mid-Age (30–50),40K-80K,Credit Card,0.748
Senior (50+),40K-80K,Mortgage,0.758
Mid-Age (30–50),80K-120K,Credit Card,0.782
Mid-Age (30–50),80K-120K,Credit Card,0.654
Senior (50+),40K-80K,Investment,0.609
Senior (50+),80K-120K,Investment,0.669
Mid-Age (30–50),40K-80K,Mortgage,0.457
Young (<30),40K-80K,Mortgage,0.58
Senior (50+),<40K,Investment,0.513
Mid-Age (30–50),40K-80K,Investment,0.837
Young (<30),40K-80K,Investment,0.724
Senior (50+),40K-80K,Chequing Account,0.557
Mid-Age (30–50),80K-120K,Chequing Account,0.721
Mid-Age (30–50),80K-120K,Mortgage,1.0
Senior (50+),80K-120K,Investment,0.871
Mid-Age (30–50),40K-80K,Chequing Account,0.67
Mid-Age (30–50),40K-80K,Credit Card,0.551
Senior (50+),40K-80K,Investment,0.782
Mid-Age (30–50),40K-80K,Mortgage,0.755
Young (<30),<40K,Mortgage,0.741
Young (<30),80K-120K,Mortgage,1.0
Mid-Age (30–50),80K-120K,Mortgage,0.723
Mid-Age (30–50),40K-80K,Chequing Account,0.7
Mid-Age (30–50),40K-80K,Mortgage,0.561
Young (<30),40K-80K,Chequing Account,0.895
Mid-Age (30–50),80K-120K,Chequing Account,1.0
Mid-Age (30–50),80K-120K,Mortgage,0.707
Senior (50+),40K-80K,Credit Card,0.635
Senior (50+),40K-80K,Credit Card,0.817
Senior (50+),80K-120K,Mortgage,0.87
Senior (50+),80K-120K,Investment,0.792
Senior (50+),40K-80K,Chequing Account,0.54
Mid-Age (30–50),40K-80K,Chequing Account,0.543
Mid-Age (30–50),80K-120K,Credit Card,0.855
Senior (50+),80K-120K,Mortgage,1.0
Mid-Age (30–50),80K-120K,Mortgage,0.919
Mid-Age (30–50),80K-120K,Mortgage,0.799
Mid-Age (30–50),<40K,Mortgage,0.605
Senior (50+),<40K,Credit Card,0.649
Young (<30),40K-80K,Chequing Account,0.557
Mid-Age (30–50),80K-120K,Mortgage,0.922
Senior (50+),40K-80K,Credit Card,0.634
Young (<30),40K-80K,Investment,0.603
Mid-Age (30–50),120K–200K,Chequing Account,1.0
Mid-Age (30–50),80K-120K,Credit Card,0.975
Mid-Age (30–50),40K-80K,Chequing Account,0.988
Mid-Age (30–50),40K-80K,Chequing Account,0.671
Senior (50+),80K-120K,Credit Card,0.662
Young (<30),80K-120K,Credit Card,0.694
Senior (50+),40K-80K,Credit Card,0.493
Senior (50+),40K-80K,Investment,0.396
Mid-Age (30–50),80K-120K,Mortgage,0.95
Senior (50+),40K-80K,Chequing Account,0.609
Mid-Age (30–50),40K-80K,Chequing Account,0.545
Young (<30),40K-80K,Investment,0.694
Senior (50+),80K-120K,Mortgage,0.645
Mid-Age (30–50),80K-120K,Chequing Account,1.0
Mid-Age (30–50),120K–200K,Chequing Account,1.0
Mid-Age (30–50),80K-120K,Chequing Account,0.687
Mid-Age (30–50),40K-80K,Chequing Account,0.88
Senior (50+),40K-80K,Chequing Account,0.909
Senior (50+),40K-80K,Chequing Account,0.751
Mid-Age (30–50),40K-80K,Chequing Account,0.792
Mid-Age (30–50),80K-120K,Investment,0.814
Senior (50+),40K-80K,Chequing Account,0.562
Senior (50+),40K-80K,Chequing Account,0.938
Senior (50+),80K-120K,Chequing Account,0.844
Mid-Age (30–50),80K-120K,Credit Card,0.755
Young (<30),40K-80K,Chequing Account,0.845
Senior (50+),120K–200K,Chequing Account,1.0
Young (<30),<40K,Chequing Account,0.627
Senior (50+),40K-80K,Investment,0.62
Senior (50+),40K-80K,Credit Card,0.609
Senior (50+),80K-120K,Investment,0.773
Mid-Age (30–50),40K-80K,Mortgage,0.698
Mid-Age (30–50),40K-80K,Credit Card,0.788
Senior (50+),40K-80K,Credit Card,0.888
Mid-Age (30–50),40K-80K,Investment,0.573
Senior (50+),120K–200K,Credit Card,1.0
Mid-Age (30–50),80K-120K,Credit Card,1.0
Mid-Age (30–50),40K-80K,Chequing Account,0.509
Mid-Age (30–50),40K-80K,Credit Card,0.544
Senior (50+),<40K,Mortgage,0.276
Mid-Age (30–50),40K-80K,Mortgage,0.805
Mid-Age (30–50),40K-80K,Mortgage,0.92
Senior (50+),40K-80K,Credit Card,0.588
Senior (50+),40K-80K,Mortgage,0.803
Mid-Age (30–50),40K-80K,Mortgage,0.662
Young (<30),40K-80K,Chequing Account,0.683
Mid-Age (30–50),80K-120K,Credit Card,0.711
Young (<30),40K-80K,Credit Card,0.694
Young (<30),<40K,Mortgage,0.337
Young (<30),80K-120K,Credit Card,0.745
Senior (50+),40K-80K,Mortgage,0.501
Young (<30),40K-80K,Credit Card,0.6
Senior (50+),40K-80K,Chequing Account,0.731
Senior (50+),80K-120K,Credit Card,0.687
Senior (50+),40K-80K,Mortgage,0.572
Senior (50+),80K-120K,Investment,0.636
Mid-Age (30–50),<40K,Chequing Account,0.503
Senior (50+),40K-80K,Credit Card,0.597
Mid-Age (30–50),80K-120K,Mortgage,0.652
Senior (50+),120K–200K,Credit Card,1.0
Young (<30),80K-120K,Credit Card,0.643
Mid-Age (30–50),80K-120K,Mortgage,0.949
Senior (50+),80K-120K,Chequing Account,0.829
Senior (50+),40K-80K,Chequing Account,0.939
Young (<30),40K-80K,Investment,0.642
Senior (50+),80K-120K,Mortgage,0.619
Mid-Age (30–50),40K-80K,Mortgage,0.945
Mid-Age (30–50),80K-120K,Mortgage,0.927
Mid-Age (30–50),40K-80K,Investment,0.61
Senior (50+),40K-80K,Mortgage,0.477
Mid-Age (30–50),<40K,Chequing Account,0.653
Senior (50+),80K-120K,Credit Card,0.946
Mid-Age (30–50),40K-80K,Credit Card,0.718
Mid-Age (30–50),40K-80K,Mortgage,0.738
Mid-Age (30–50),40K-80K,Mortgage,0.811
Senior (50+),40K-80K,Chequing Account,0.794
Mid-Age (30–50),40K-80K,Mortgage,0.557
Mid-Age (30–50),40K-80K,Credit Card,0.611
Young (<30),40K-80K,Mortgage,0.804
Mid-Age (30–50),80K-120K,Chequing Account,0.854
Mid-Age (30–50),80K-120K,Mortgage,0.685
Senior (50+),40K-80K,Chequing Account,0.682
Senior (50+),120K–200K,Credit Card,1.0
Senior (50+),40K-80K,Credit Card,0.634
Mid-Age (30–50),<40K,Mortgage,0.724
Senior (50+),40K-80K,Chequing Account,0.483
Mid-Age (30–50),80K-120K,Chequing Account,1.0
Mid-Age (30–50),40K-80K,Credit Card,0.521
Mid-Age (30–50),80K-120K,Chequing Account,1.0
Young (<30),<40K,Mortgage,0.609
Mid-Age (30–50),80K-120K,Investment,0.924
Young (<30),40K-80K,Chequing Account,0.411
Mid-Age (30–50),80K-120K,Mortgage,0.769
Senior (50+),40K-80K,Credit Card,0.888
Senior (50+),80K-120K,Chequing Account,0.853
Senior (50+),80K-120K,Investment,0.629
Mid-Age (30–50),40K-80K,Mortgage,0.398
Mid-Age (30–50),40K-80K,Investment,0.434
Senior (50+),40K-80K,Chequing Account,0.748
Senior (50+),80K-120K,Chequing Account,1.0
Senior (50+),80K-120K,Chequing Account,0.92
Young (<30),<40K,Credit Card,0.581
Young (<30),40K-80K,Mortgage,0.858
Senior (50+),40K-80K,Mortgage,0.647
Mid-Age (30–50),40K-80K,Investment,0.605
Mid-Age (30–50),80K-120K,Mortgage,0.868
Senior (50+),80K-120K,Credit Card,0.751
Mid-Age (30–50),40K-80K,Chequing Account,0.478
Mid-Age (30–50),40K-80K,Mortgage,0.532
Senior (50+),120K–200K,Credit Card,1.0
Mid-Age (30–50),80K-120K,Chequing Account,0.85
Senior (50+),40K-80K,Chequing Account,0.401
Senior (50+),40K-80K,Credit Card,0.584
Young (<30),80K-120K,Chequing Account,0.681
Mid-Age (30–50),40K-80K,Chequing Account,0.461
Senior (50+),40K-80K,Mortgage,0.532
Senior (50+),80K-120K,Credit Card,1.0
Mid-Age (30–50),80K-120K,Chequing Account,0.647
Senior (50+),40K-80K,Mortgage,0.692
Mid-Age (30–50),40K-80K,Investment,0.453
Young (<30),40K-80K,Mortgage,0.35
Senior (50+),40K-80K,Investment,0.647
Senior (50+),80K-120K,Investment,0.719
Senior (50+),80K-120K,Investment,0.623
Senior (50+),40K-80K,Credit Card,0.849
Senior (50+),40K-80K,Mortgage,1.0
Mid-Age (30–50),<40K,Investment,0.296
Young (<30),40K-80K,Credit Card,0.419
Young (<30),40K-80K,Chequing Account,0.743
Senior (50+),<40K,Credit Card,0.489
Mid-Age (30–50),80K-120K,Investment,1.0
Senior (50+),40K-80K,Credit Card,0.432
Mid-Age (30–50),80K-120K,Chequing Account,0.892
Senior (50+),40K-80K,Credit Card,0.885
Senior (50+),40K-80K,Investment,0.742
Mid-Age (30–50),40K-80K,Chequing Account,0.879
Senior (50+),80K-120K,Credit Card,0.757
Mid-Age (30–50),80K-120K,Credit Card,0.939
Senior (50+),80K-120K,Credit Card,0.938
Young (<30),40K-80K,Chequing Account,0.765
Senior (50+),40K-80K,Chequing Account,0.807
Mid-Age (30–50),40K-80K,Chequing Account,0.86
Mid-Age (30–50),80K-120K,Credit Card,0.954
Young (<30),80K-120K,Chequing Account,1.0
Mid-Age (30–50),80K-120K,Credit Card,0.632
Young (<30),40K-80K,Credit Card,0.561
Mid-Age (30–50),80K-120K,Mortgage,0.65
Senior (50+),80K-120K,Credit Card,1.0
Senior (50+),40K-80K,Mortgage,0.557
Mid-Age (30–50),80K-120K,Credit Card,0.647
Mid-Age (30–50),80K-120K,Investment,0.677
Young (<30),40K-80K,Mortgage,0.537
Senior (50+),40K-80K,Investment,0.738
Young (<30),80K-120K,Chequing Account,0.644
Senior (50+),120K–200K,Investment,0.919
Senior (50+),40K-80K,Chequing Account,0.944
Mid-Age (30–50),80K-120K,Investment,0.676
Young (<30),40K-80K,Mortgage,0.74
Young (<30),40K-80K,Mortgage,0.589
Young (<30),80K-120K,Chequing Account,0.901
Mid-Age (30–50),80K-120K,Mortgage,0.818
Young (<30),40K-80K,Mortgage,0.942
Senior (50+),40K-80K,Credit Card,0.876
Mid-Age (30–50),40K-80K,Credit Card,0.434
Young (<30),80K-120K,Mortgage,0.71
Mid-Age (30–50),40K-80K,Credit Card,0.806
Mid-Age (30–50),40K-80K,Chequing Account,0.468
Mid-Age (30–50),40K-80K,Chequing Account,0.632
Mid-Age (30–50),80K-120K,Chequing Account,0.598
Young (<30),80K-120K,Investment,0.547
Mid-Age (30–50),40K-80K,Chequing Account,0.729
Mid-Age (30–50),80K-120K,Credit Card,1.0
Mid-Age (30–50),40K-80K,Credit Card,0.647
Young (<30),40K-80K,Credit Card,0.954
Senior (50+),<40K,Chequing Account,0.657
Young (<30),80K-120K,Mortgage,0.666
Mid-Age (30–50),80K-120K,Credit Card,0.86
Mid-Age (30–50),40K-80K,Mortgage,0.622
Mid-Age (30–50),80K-120K,Mortgage,0.905
Senior (50+),40K-80K,Investment,0.559
Senior (50+),80K-120K,Chequing Account,1.0
Mid-Age (30–50),80K-120K,Credit Card,0.666
Young (<30),80K-120K,Investment,0.73
Mid-Age (30–50),80K-120K,Credit Card,1.0
Mid-Age (30–50),40K-80K,Credit Card,0.69
Mid-Age (30–50),40K-80K,Mortgage,0.934
Mid-Age (30–50),120K–200K,Chequing Account,0.755
Young (<30),<40K,Mortgage,0.487
Senior (50+),40K-80K,Chequing Account,0.835
Senior (50+),80K-120K,Chequing Account,0.949
Mid-Age (30–50),40K-80K,Investment,0.426
Young (<30),80K-120K,Mortgage,1.0
Young (<30),40K-80K,Investment,0.471
Senior (50+),80K-120K,Credit Card,0.997
Mid-Age (30–50),80K-120K,Chequing Account,0.948
Young (<30),40K-80K,Credit Card,0.977
Young (<30),80K-120K,Investment,0.76
Mid-Age (30–50),80K-120K,Chequing Account,0.918
Young (<30),80K-120K,Investment,0.828
Senior (50+),80K-120K,Credit Card,1.0
Young (<30),80K-120K,Credit Card,0.605
Young (<30),80K-120K,Credit Card,1.0
Mid-Age (30–50),40K-80K,Investment,0.605
Mid-Age (30–50),40K-80K,Credit Card,0.745
Mid-Age (30–50),40K-80K,Mortgage,0.838
Senior (50+),80K-120K,Credit Card,1.0
Senior (50+),120K–200K,Chequing Account,0.792
Senior (50+),40K-80K,Mortgage,0.335
Young (<30),40K-80K,Chequing Account,0.613
Senior (50+),40K-80K,Chequing Account,0.563
Senior (50+),40K-80K,Chequing Account,0.668
Senior (50+),80K-120K,Mortgage,0.982
Young (<30),80K-120K,Mortgage,1.0
Mid-Age (30–50),40K-80K,Credit Card,0.858
Senior (50+),40K-80K,Credit Card,0.581
Mid-Age (30–50),<40K,Credit Card,0.62
Mid-Age (30–50),40K-80K,Credit Card,0.534
Mid-Age (30–50),40K-80K,Credit Card,0.572
Young (<30),80K-120K,Chequing Account,0.82
Mid-Age (30–50),40K-80K,Mortgage,0.636
Young (<30),80K-120K,Credit Card,0.696
Mid-Age (30–50),40K-80K,Mortgage,0.584
Mid-Age (30–50),120K–200K,Chequing Account,1.0
Mid-Age (30–50),80K-120K,Investment,0.821
Mid-Age (30–50),80K-120K,Mortgage,0.806
Senior (50+),40K-80K,Mortgage,0.78
Mid-Age (30–50),80K-120K,Chequing Account,0.718
Young (<30),40K-80K,Investment,0.472
Senior (50+),80K-120K,Mortgage,0.985
Mid-Age (30–50),40K-80K,Investment,0.452
Mid-Age (30–50),40K-80K,Mortgage,0.631
Senior (50+),40K-80K,Investment,0.883
Young (<30),40K-80K,Credit Card,0.454
Senior (50+),80K-120K,Mortgage,0.615
Senior (50+),40K-80K,Credit Card,0.368
Senior (50+),40K-80K,Investment,0.703
Young (<30),80K-120K,Chequing Account,0.621
Mid-Age (30–50),<40K,Chequing Account,0.45
Mid-Age (30–50),80K-120K,Chequing Account,0.775
Senior (50+),80K-120K,Credit Card,0.772
Mid-Age (30–50),40K-80K,Mortgage,0.535
Young (<30),80K-120K,Credit Card,0.731
Mid-Age (30–50),40K-80K,Mortgage,0.868
Mid-Age (30–50),40K-80K,Credit Card,0.601
Mid-Age (30–50),40K-80K,Chequing Account,0.706
Mid-Age (30–50),40K-80K,Mortgage,0.698
Senior (50+),40K-80K,Credit Card,0.454
Senior (50+),80K-120K,Mortgage,1.0
Senior (50+),<40K,Chequing Account,0.444
Mid-Age (30–50),40K-80K,Investment,0.784
Mid-Age (30–50),80K-120K,Credit Card,0.746
Mid-Age (30–50),80K-120K,Investment,0.762
Senior (50+),80K-120K,Chequing Account,0.643
Young (<30),80K-120K,Mortgage,1.0
Mid-Age (30–50),80K-120K,Credit Card,0.587
Senior (50+),40K-80K,Investment,0.764
Senior (50+),40K-80K,Mortgage,0.613
Mid-Age (30–50),40K-80K,Chequing Account,0.939
Senior (50+),40K-80K,Credit Card,0.838
Mid-Age (30–50),80K-120K,Credit Card,0.851
Senior (50+),40K-80K,Investment,0.535
