LeadID,LeadSource,Age,Gender,EmploymentStatus,Income,MaritalStatus,Province,InitialProductInterest,WebsiteVisits_PreConversion,TimeOnWebsite_Minutes,EmailOpenedCount,DaysSinceInquiry,CallCenterInquiries,BranchVisits,ReferrerCustomer,HasExistingProducts,FirstContactChannel,ConversionProbability,ConversionClass,ConvertedFlag,FirstProductTaken,FirstTransactionAmount,MonthlyRevenue,TenureMonths,CLTV
L01749,Social Media,41,Other,Student,61554.3,Married,British Columbia,Investment,4,20.27,1,51,2,0,0,1,Email,0.601,High,1,Investment,830,145.62,7,1019.36
L01750,Online Ad,26,Female,Unemployed,87899.84,Divorced,Alberta,Investment,2,10.25,8,41,0,0,0,0,Website,0.725,High,1,Investment,6515,38.1,59,2247.7
L01751,Branch Walk-in,59,Male,Full-time,106805.52,Married,Ontario,Mortgage,3,26.02,6,101,0,1,0,0,Website,1.0,High,1,Mortgage,1518,241.75,51,12329.04
L01752,Online Ad,28,Male,Full-time,106628.39,Married,Alberta,Investment,3,28.22,7,74,2,1,0,0,Website,0.923,High,1,Investment,7452,208.76,10,2087.55
L01753,Online Ad,52,Female,Student,96793.03,Married,Alberta,Mortgage,2,15.23,7,10,0,0,0,1,Website,0.732,High,1,Mortgage,9213,90.82,58,5267.37
L01754,Online Ad,46,Female,Self-employed,82999.7,Single,Quebec,Credit Card,3,22.89,7,52,2,1,0,1,Website,0.506,Medium,0,nan,0,0.0,0,0.0
L01755,Partnership,25,Male,Unemployed,52175.77,Married,Manitoba,Chequing Account,3,16.24,5,55,1,0,0,1,Email,0.524,Medium,0,nan,0,0.0,0,0.0
L01756,Social Media,34,Male,Unemployed,104868.09,Married,Alberta,Mortgage,2,12.39,1,105,0,2,0,0,Website,0.738,High,1,Mortgage,9111,290.54,17,4939.25
L01757,Partnership,24,Female,Part-time,108191.09,Divorced,Quebec,Chequing Account,4,22.44,6,3,0,0,0,1,Call,0.668,High,1,Chequing Account,8588,111.06,6,666.33
L01758,Branch Walk-in,29,Female,Full-time,15000.0,Single,Manitoba,Chequing Account,2,25.84,5,0,1,1,1,1,Email,0.616,High,1,Chequing Account,8352,53.09,54,2866.64
L01759,Online Ad,65,Male,Unemployed,,Married,Manitoba,Credit Card,5,7.97,8,46,1,1,1,1,Email,0.848,High,0,nan,0,0.0,0,0.0
L01760,Branch Walk-in,32,Other,Full-time,37468.02,Divorced,British Columbia,Mortgage,3,12.14,5,70,0,1,0,0,Website,0.806,High,1,Mortgage,5434,44.28,17,752.82
L01761,Branch Walk-in,46,Female,Full-time,54149.39,Single,Manitoba,Credit Card,2,17.73,1,76,0,1,0,1,Email,0.809,High,1,Credit Card,637,231.4,57,13189.6
L01762,Social Media,62,Male,Student,90736.1,Single,Alberta,Credit Card,3,23.38,1,87,0,1,0,0,Email,0.669,High,1,Credit Card,1034,250.7,1,250.7
L01763,Online Ad,67,Male,Student,47896.87,Single,Ontario,Chequing Account,7,6.24,5,59,1,2,0,1,Call,0.476,Medium,0,nan,0,0.0,0,0.0
L01764,Branch Walk-in,67,Female,Full-time,74620.43,Single,Manitoba,Chequing Account,7,14.52,9,55,1,0,0,0,Call,0.865,High,1,Chequing Account,8453,115.14,44,5066.13
L01765,Online Ad,41,Male,Full-time,47228.4,Married,Alberta,Chequing Account,5,12.94,6,72,2,1,0,1,Call,0.459,Medium,0,nan,0,0.0,0,0.0
L01766,Referral,54,Female,Unemployed,92256.62,Married,Ontario,Chequing Account,2,5.47,8,3,0,1,1,0,Website,0.972,High,1,Chequing Account,4860,215.32,18,3875.77
L01767,Social Media,31,Female,Self-employed,69394.16,Widowed,Ontario,Credit Card,3,25.69,4,9,0,1,0,0,Call,0.532,Medium,0,nan,0,0.0,0,0.0
L01768,Branch Walk-in,28,Male,Full-time,64218.45,Married,Ontario,Chequing Account,3,11.03,8,101,1,0,1,1,Website,0.93,High,1,Chequing Account,315,104.5,1,104.5
L01769,Referral,52,Female,Student,93194.89,Married,Nova Scotia,Chequing Account,1,8.33,1,24,0,0,0,0,Website,0.895,High,1,Chequing Account,921,146.61,16,2345.76
L01770,Referral,34,Female,Part-time,64969.86,Single,British Columbia,Mortgage,5,14.38,2,7,1,1,1,0,Call,0.834,High,1,Mortgage,2408,40.63,4,162.54
L01771,Branch Walk-in,44,Male,Full-time,100579.78,Single,Ontario,Chequing Account,3,12.51,2,14,0,0,0,0,Website,1.0,High,1,Chequing Account,3627,168.29,37,6226.89
L01772,Social Media,61,Female,Unemployed,57416.75,Married,Ontario,Mortgage,5,18.07,3,47,0,2,0,0,Email,0.496,Medium,1,Mortgage,8080,281.49,26,7318.77
L01773,Partnership,20,Female,Part-time,53470.62,Married,Ontario,Investment,2,7.26,7,34,1,2,0,0,Email,0.522,Medium,1,Investment,8281,294.06,45,13232.68
L01774,Partnership,19,Female,Student,79102.54,Single,British Columbia,Mortgage,5,17.38,7,39,2,1,0,0,Branch,0.674,High,1,Mortgage,4333,163.11,57,9297.45
L01775,Social Media,21,Male,Part-time,84860.94,Single,Ontario,Investment,1,6.73,4,43,1,1,0,0,Website,0.613,High,1,Investment,4891,30.36,6,182.15
L01776,Referral,35,Female,Part-time,72932.66,Married,Quebec,Investment,6,15.8,6,103,0,1,0,0,Call,0.764,High,1,Investment,1862,238.43,59,14067.22
L01777,Branch Walk-in,37,Male,Part-time,62085.68,Married,Alberta,Chequing Account,5,23.37,4,86,3,0,1,0,Email,0.879,High,1,Chequing Account,3587,137.02,59,8084.3
L01778,Referral,38,Female,Part-time,48893.52,Married,Alberta,Mortgage,3,18.51,2,17,2,1,0,0,Call,0.686,High,0,nan,0,0.0,0,0.0
L01779,Referral,31,Male,Unemployed,79325.59,Married,Quebec,Mortgage,6,17.39,2,3,1,0,0,1,Email,0.834,High,1,Mortgage,1980,41.53,9,373.81
L01780,Social Media,25,Female,Full-time,78683.58,Single,Alberta,Credit Card,4,8.37,9,99,0,0,0,1,Call,0.701,High,1,Credit Card,163,200.69,43,8629.82
L01781,Online Ad,19,Male,Student,69028.17,Married,Ontario,Chequing Account,5,7.72,7,78,1,0,0,0,Website,0.558,Medium,0,nan,0,0.0,0,0.0
L01782,Partnership,43,Male,Full-time,117704.52,Single,Ontario,Chequing Account,2,6.04,8,103,2,2,1,1,Email,0.976,High,1,Chequing Account,5769,276.69,32,8853.96
L01783,Branch Walk-in,36,Male,Full-time,57879.53,Married,Alberta,Credit Card,4,18.61,3,75,0,0,0,1,Call,0.875,High,1,Credit Card,8747,159.22,53,8438.77
L01784,Branch Walk-in,59,Female,Self-employed,126012.05,Divorced,Quebec,Mortgage,1,6.75,9,4,1,0,0,1,Website,1.0,High,1,Mortgage,5280,122.09,33,4029.02
L01785,Branch Walk-in,45,Male,Full-time,67829.23,Single,Manitoba,Mortgage,7,27.1,0,65,2,0,0,0,Call,0.882,High,1,Mortgage,7789,106.38,50,5319.09
L01786,Partnership,46,Female,Student,102736.34,Single,Ontario,Mortgage,5,9.61,3,32,0,0,1,0,Website,0.707,High,1,Mortgage,7695,102.47,58,5943.54
L01787,Branch Walk-in,22,Male,Student,83415.85,Single,Quebec,Chequing Account,2,15.36,4,50,0,0,0,1,Email,0.855,High,0,nan,0,0.0,0,0.0
L01788,Branch Walk-in,60,Female,Student,106216.71,Single,Ontario,Chequing Account,4,6.87,3,86,0,2,1,0,Email,1.0,High,1,Chequing Account,4728,24.78,17,421.2
L01789,Online Ad,45,Female,Full-time,128190.28,Single,Ontario,Mortgage,4,10.9,1,87,1,1,1,1,Website,1.0,High,1,Mortgage,4979,283.71,55,15604.12
L01790,Branch Walk-in,58,Male,Student,82219.06,Married,Ontario,Investment,1,13.13,7,21,0,0,0,1,Email,0.985,High,1,Investment,9705,23.69,10,236.88
L01791,Online Ad,65,Male,Student,54948.25,Married,Ontario,Chequing Account,5,19.4,5,116,1,0,0,1,Call,0.482,Medium,1,Chequing Account,2065,170.36,49,8347.5
L01792,Social Media,43,Male,Full-time,36345.76,Married,Ontario,Credit Card,5,35.64,5,57,1,0,0,0,Website,0.448,Medium,0,nan,0,0.0,0,0.0
L01793,Branch Walk-in,22,Female,Full-time,63390.5,Single,Ontario,Credit Card,2,17.2,6,3,0,0,0,0,Email,0.909,High,1,Credit Card,5087,209.87,2,419.75
L01794,Branch Walk-in,32,Male,Full-time,105524.03,Married,Ontario,Investment,2,24.43,0,20,1,0,1,0,Call,1.0,High,1,Investment,2537,278.57,25,6964.16
L01795,Online Ad,63,Female,Full-time,107626.47,Single,Quebec,Chequing Account,4,6.9,6,91,0,0,1,0,Website,0.832,High,1,Chequing Account,6208,272.22,24,6533.22
L01796,Online Ad,26,Male,Student,105640.73,Married,Ontario,Credit Card,1,19.15,7,119,3,0,0,1,Email,0.81,High,1,Credit Card,2715,299.8,43,12891.34
L01797,Social Media,49,Male,Part-time,70942.44,Married,Ontario,Credit Card,2,12.6,7,8,1,2,1,1,Email,0.57,Medium,1,Credit Card,7485,32.13,12,385.61
L01798,Online Ad,69,Female,Part-time,101634.46,Married,Ontario,Chequing Account,2,20.21,9,43,0,0,1,0,Email,0.662,High,1,Chequing Account,2447,105.42,19,2002.95
L01799,Online Ad,43,Male,Full-time,88264.27,Single,Manitoba,Mortgage,1,5.64,4,92,0,0,1,0,Email,0.715,High,0,nan,0,0.0,0,0.0
L01800,Online Ad,54,Female,Full-time,54631.14,Married,Manitoba,Investment,3,11.92,0,118,0,0,0,0,Website,0.487,Medium,1,Investment,5545,55.36,39,2159.11
L01801,Partnership,32,Female,Part-time,64756.27,Single,Ontario,Mortgage,2,13.25,1,56,2,1,0,1,Email,0.644,High,1,Mortgage,4098,69.11,24,1658.71
L01802,Social Media,58,Male,Unemployed,121332.53,Single,Manitoba,Chequing Account,3,26.59,4,29,1,0,0,0,Email,0.767,High,1,Chequing Account,7127,279.0,58,16182.17
L01803,Referral,21,Female,Student,39485.89,Married,Quebec,Chequing Account,0,28.02,1,92,2,0,1,0,Email,0.574,Medium,1,Chequing Account,357,239.61,49,11740.92
L01804,Referral,53,Male,Unemployed,101250.6,Divorced,Ontario,Credit Card,4,8.62,5,116,4,0,1,0,Email,1.0,High,1,Credit Card,3051,29.08,52,1512.38
L01805,Referral,37,Female,Part-time,49233.87,Married,Nova Scotia,Chequing Account,2,4.14,8,22,0,0,1,0,Branch,0.658,High,1,Chequing Account,5493,290.78,22,6397.26
L01806,Social Media,44,Male,Full-time,78558.84,Married,Quebec,Credit Card,1,11.28,4,46,1,0,0,1,Website,0.611,High,1,Credit Card,6207,233.94,10,2339.43
L01807,Branch Walk-in,38,Female,Full-time,115776.12,Married,Ontario,Chequing Account,7,27.35,5,67,1,1,0,0,Email,1.0,High,1,Chequing Account,471,221.94,43,9543.45
L01808,Online Ad,39,Male,Self-employed,87454.68,Single,British Columbia,Investment,6,20.19,3,70,0,0,1,0,Call,0.668,High,0,nan,0,0.0,0,0.0
L01809,Online Ad,24,Female,Part-time,74438.48,Married,Ontario,Credit Card,1,0.29,2,39,0,1,0,1,Call,0.671,High,1,Credit Card,9709,248.92,31,7716.59
L01810,Online Ad,64,Female,Unemployed,70226.38,Single,British Columbia,Chequing Account,3,9.03,9,42,1,0,0,0,Call,0.746,High,0,nan,0,0.0,0,0.0
L01811,Branch Walk-in,48,Male,Student,109179.19,Married,Ontario,Chequing Account,2,3.14,0,8,0,2,0,0,Website,1.0,High,1,Chequing Account,6306,226.36,9,2037.26
L01812,Social Media,34,Male,Unemployed,93842.28,Married,Ontario,Chequing Account,6,6.58,5,112,0,2,0,1,Call,0.735,High,1,Chequing Account,9415,154.17,29,4470.99
L01813,Referral,67,Female,Full-time,104395.32,Married,Ontario,Credit Card,4,2.55,1,85,2,1,0,0,Email,1.0,High,1,Credit Card,5383,224.56,41,9207.08
L01814,Online Ad,24,Male,Student,100888.12,Single,British Columbia,Credit Card,5,27.02,9,9,0,1,0,1,Email,0.752,High,1,Credit Card,2988,85.19,30,2555.68
L01815,Online Ad,36,Female,Student,97776.73,Married,British Columbia,Mortgage,3,14.74,4,67,1,1,0,0,Website,0.809,High,1,Mortgage,3567,93.26,34,3170.85
L01816,Partnership,45,Female,Part-time,82863.33,Single,British Columbia,Chequing Account,6,18.42,4,37,1,0,0,0,Website,0.673,High,0,nan,0,0.0,0,0.0
L01817,Referral,27,Female,Unemployed,58168.58,Married,Quebec,Investment,3,18.76,8,100,1,0,0,1,Email,0.67,High,1,Investment,5428,34.38,10,343.79
L01818,Social Media,44,Female,Self-employed,87377.74,Single,Ontario,Chequing Account,3,19.58,2,48,0,0,1,1,Call,0.732,High,1,Chequing Account,1305,247.66,40,9906.54
L01819,Branch Walk-in,30,Male,Full-time,69011.63,Married,Manitoba,Mortgage,5,13.12,1,37,0,1,1,0,Website,0.844,High,1,Mortgage,6536,227.4,28,6367.09
L01820,Referral,19,Female,Part-time,34104.13,Single,Quebec,Credit Card,3,31.6,5,30,0,2,1,1,Email,0.554,Medium,1,Credit Card,4055,101.58,24,2437.96
L01821,Online Ad,39,Male,Student,115879.23,Single,Alberta,Chequing Account,5,21.17,2,43,0,0,0,0,Email,0.861,High,1,Chequing Account,3460,68.54,17,1165.21
L01822,Online Ad,37,Male,,48617.67,Single,Quebec,Credit Card,5,7.25,8,93,1,1,0,1,Website,0.409,Medium,0,nan,0,0.0,0,0.0
L01823,Branch Walk-in,60,Male,Part-time,65809.89,Single,Manitoba,Mortgage,5,9.8,5,99,0,0,0,1,Website,0.699,High,1,Mortgage,6570,122.29,13,1589.78
L01824,Social Media,22,Female,Unemployed,52066.5,Single,Ontario,Chequing Account,5,21.72,4,79,0,2,0,0,Email,0.563,Medium,0,nan,0,0.0,0,0.0
L01825,Branch Walk-in,23,Male,Student,54811.15,Single,Ontario,Chequing Account,5,6.95,1,109,2,1,1,0,Website,0.737,High,0,nan,0,0.0,0,0.0
L01826,Branch Walk-in,52,Female,Part-time,49838.47,Single,Alberta,Chequing Account,1,21.18,7,68,0,1,1,0,Email,0.728,High,1,Chequing Account,1896,103.13,3,309.38
L01827,Online Ad,18,Male,Full-time,63796.78,Married,British Columbia,Mortgage,1,6.3,0,11,2,0,0,1,Email,0.595,Medium,1,Mortgage,6202,244.75,49,11992.7
L01828,Partnership,52,Male,Full-time,80630.39,Single,Manitoba,Credit Card,1,29.83,6,31,0,0,0,0,Email,0.694,High,1,Credit Card,4901,229.38,5,1146.92
L01829,Social Media,20,Female,Self-employed,82516.33,Single,British Columbia,Investment,1,19.52,8,96,0,0,1,0,Website,0.636,High,1,Investment,1730,202.63,10,2026.34
L01830,Referral,53,Male,Self-employed,95642.21,Single,Nova Scotia,Chequing Account,2,5.56,1,66,0,0,0,1,Email,0.821,High,1,Chequing Account,6888,266.64,32,8532.59
L01831,Partnership,24,Male,Student,64571.61,Married,Manitoba,Mortgage,2,4.93,1,17,0,1,0,0,Website,0.514,Medium,0,nan,0,0.0,0,0.0
L01832,Branch Walk-in,46,Female,Unemployed,15000.0,Single,Manitoba,Investment,2,15.1,0,39,1,0,0,0,Call,0.448,Medium,0,nan,0,0.0,0,0.0
L01833,Branch Walk-in,32,Male,Full-time,101739.58,Married,British Columbia,Chequing Account,5,9.3,4,111,2,0,1,0,Email,1.0,High,1,Chequing Account,9792,263.75,41,10813.91
L01834,Social Media,28,Male,Full-time,97966.04,Single,Manitoba,Credit Card,4,18.21,1,95,1,0,1,1,Email,0.675,High,1,Credit Card,1427,121.85,11,1340.39
L01835,Social Media,35,Male,Unemployed,59381.79,Divorced,Quebec,Credit Card,5,19.86,1,61,1,1,0,0,Email,0.453,Medium,0,nan,0,0.0,0,0.0
L01836,Branch Walk-in,61,Female,Part-time,95135.81,Married,Nova Scotia,Credit Card,0,13.69,4,21,1,2,0,0,Website,0.862,High,1,Credit Card,8546,147.14,14,2059.89
L01837,Online Ad,21,Female,Part-time,80465.24,Single,Ontario,Chequing Account,5,9.24,6,15,2,1,1,1,Website,0.641,High,0,nan,0,0.0,0,0.0
L01838,Referral,41,Male,Unemployed,80915.88,Single,Ontario,Credit Card,5,2.21,8,64,1,0,0,1,Email,0.827,High,1,Credit Card,6983,69.47,58,4029.07
L01839,Partnership,28,Male,Full-time,83754.57,Single,Quebec,Mortgage,5,15.7,8,81,1,1,0,1,Website,0.758,High,1,Mortgage,7016,151.77,1,151.77
L01840,Online Ad,23,Male,Part-time,49992.59,Married,Nova Scotia,Credit Card,3,18.36,7,81,1,1,0,0,Email,0.436,Medium,0,nan,0,0.0,0,0.0
L01841,Referral,68,Male,Full-time,59436.63,Single,British Columbia,Credit Card,3,11.55,3,103,1,0,1,0,Branch,0.87,High,1,Credit Card,9638,166.44,8,1331.49
L01842,Referral,35,Female,Self-employed,85215.83,Divorced,Ontario,Chequing Account,4,3.15,4,79,1,1,0,0,Website,1.0,High,1,Chequing Account,7432,297.17,46,13670.02
L01843,Referral,32,Male,Self-employed,73505.54,Single,British Columbia,Investment,1,13.19,7,116,1,1,1,0,Email,0.815,High,1,Investment,8834,286.92,45,12911.33
L01844,Branch Walk-in,20,Female,Full-time,74300.89,Single,Nova Scotia,Investment,3,1.66,1,63,0,1,0,1,Branch,0.824,High,1,Investment,8232,59.53,4,238.13
L01845,Partnership,34,Female,Unemployed,100975.91,Single,Quebec,Mortgage,4,22.21,9,40,1,0,0,0,Email,0.666,High,1,Mortgage,2152,184.03,6,1104.15
L01846,Online Ad,50,Female,Student,15000.0,Single,Ontario,Investment,3,17.19,0,33,0,2,1,0,Website,0.292,Low,1,Investment,1773,129.48,12,1553.71
L01847,Online Ad,51,Male,,104421.93,Single,British Columbia,Credit Card,2,14.02,4,69,0,2,0,0,Call,0.897,High,0,nan,0,0.0,0,0.0
L01848,Online Ad,47,Female,Full-time,77263.58,Married,British Columbia,Credit Card,4,26.18,6,118,0,1,0,0,Email,0.721,High,0,nan,0,0.0,0,0.0
L01849,Partnership,36,Female,Full-time,73805.92,Divorced,Quebec,Mortgage,1,34.53,3,66,1,1,1,0,Website,0.735,High,1,Mortgage,5765,46.98,15,704.67
L01850,Branch Walk-in,26,Male,Full-time,83434.47,Married,Ontario,Mortgage,3,12.15,5,68,1,1,0,1,Email,1.0,High,1,Mortgage,6622,213.2,50,10659.81
L01851,Referral,57,Female,Part-time,65068.99,Married,Quebec,Investment,2,12.5,1,50,0,0,0,0,Email,0.703,High,0,nan,0,0.0,0,0.0
L01852,Social Media,61,Female,Part-time,47861.53,Married,Quebec,Chequing Account,2,17.86,4,10,1,1,0,0,Email,0.342,Low,1,Chequing Account,6245,202.93,37,7508.41
L01853,Partnership,48,Male,Self-employed,91255.43,Single,Quebec,Mortgage,4,21.89,1,96,0,1,0,1,Website,0.595,Medium,1,Mortgage,9115,290.58,30,8717.47
L01854,Social Media,44,Female,Full-time,116213.49,Single,Alberta,Credit Card,4,22.31,0,55,1,1,0,0,Branch,0.899,High,1,Credit Card,1681,276.39,59,16307.3
L01855,Partnership,64,Male,Student,102491.01,Single,Ontario,Mortgage,4,16.96,8,31,2,1,0,0,Call,0.76,High,1,Mortgage,5142,267.62,19,5084.69
L01856,Referral,42,Male,Full-time,101859.31,Married,Manitoba,Credit Card,8,13.37,2,82,2,1,1,0,Email,1.0,High,1,Credit Card,2064,29.32,2,58.64
L01857,Social Media,24,Female,Full-time,36389.2,Single,British Columbia,Mortgage,2,26.62,2,115,0,0,0,0,Email,0.596,Medium,0,nan,0,0.0,0,0.0
L01858,Branch Walk-in,65,Other,Unemployed,95438.11,Married,Quebec,Mortgage,3,9.84,7,6,2,0,0,0,Call,0.874,High,1,Mortgage,9127,138.97,16,2223.51
L01859,Social Media,24,Female,Full-time,63044.13,Married,Ontario,Mortgage,1,22.63,5,91,0,0,1,1,Branch,0.683,High,0,nan,0,0.0,0,0.0
L01860,Social Media,37,Male,Self-employed,60153.73,Single,Ontario,Credit Card,4,32.82,6,72,0,1,0,1,Email,0.489,Medium,0,nan,0,0.0,0,0.0
L01861,Social Media,61,Female,Self-employed,73706.04,Married,British Columbia,Mortgage,3,13.39,4,18,1,0,0,0,Call,0.639,High,1,Mortgage,1481,65.56,22,1442.41
L01862,Branch Walk-in,66,Female,Unemployed,109806.19,Single,Alberta,Mortgage,4,3.17,1,43,0,1,1,0,Website,1.0,High,1,Mortgage,6455,190.47,56,10666.53
L01863,Online Ad,60,Female,Full-time,52326.58,Single,Alberta,Credit Card,1,10.29,8,83,4,1,1,0,Website,0.687,High,1,Credit Card,7853,205.02,40,8200.7
L01864,Branch Walk-in,53,Female,Self-employed,65733.6,Single,British Columbia,Chequing Account,4,25.22,2,51,0,1,1,1,Branch,0.754,High,0,nan,0,0.0,0,0.0
L01865,Partnership,36,Female,Full-time,40256.94,Married,Quebec,Credit Card,5,0.11,1,104,0,1,1,0,Website,0.521,Medium,1,Credit Card,6048,157.27,28,4403.65
L01866,Partnership,19,Male,Self-employed,29598.46,Single,Ontario,Credit Card,3,24.26,2,79,0,0,1,0,Email,0.417,Medium,1,Credit Card,5754,197.47,17,3357.05
L01867,Online Ad,51,Male,Part-time,65934.78,Married,British Columbia,Investment,2,2.14,1,39,1,0,0,0,Email,0.491,Medium,0,nan,0,0.0,0,0.0
L01868,Online Ad,34,Male,Full-time,102518.33,Single,Ontario,Mortgage,5,14.34,2,31,2,0,1,1,Website,0.816,High,1,Mortgage,7044,31.93,15,478.89
L01869,Online Ad,41,Female,Student,104859.9,Single,Alberta,Mortgage,6,12.92,1,16,0,0,0,1,Website,0.746,High,1,Mortgage,3924,102.01,49,4998.27
L01870,Social Media,26,Male,Part-time,80178.75,Married,Quebec,Credit Card,8,17.61,5,113,0,1,1,0,Email,0.599,Medium,0,nan,0,0.0,0,0.0
L01871,Social Media,18,Female,Student,76172.87,Married,Ontario,Chequing Account,1,27.28,0,38,1,1,0,1,Email,0.511,Medium,0,nan,0,0.0,0,0.0
L01872,Online Ad,59,Male,Part-time,58940.91,Single,Alberta,Investment,5,0.86,8,77,0,0,1,0,Email,0.548,Medium,1,Investment,3905,55.64,25,1391.06
L01873,Branch Walk-in,45,Other,Full-time,33959.79,Single,Manitoba,Mortgage,2,14.97,2,4,2,0,0,0,Email,0.585,Medium,0,nan,0,0.0,0,0.0
L01874,Social Media,32,Male,Full-time,40031.06,Single,Ontario,Chequing Account,0,6.99,8,21,1,2,1,1,Website,0.616,High,1,Chequing Account,2981,229.77,58,13326.79
L01875,Social Media,38,Male,Full-time,107242.72,Married,British Columbia,Credit Card,3,5.01,4,36,2,0,0,0,Website,0.881,High,1,Credit Card,4054,250.24,58,14513.75
L01876,Branch Walk-in,32,Male,Part-time,40588.99,Married,Alberta,Investment,1,6.3,2,87,1,1,0,1,Call,0.67,High,1,Investment,7546,282.05,30,8461.4
L01877,Branch Walk-in,40,Male,Full-time,31136.67,Widowed,,Credit Card,3,16.83,3,113,1,0,0,0,Website,0.603,High,0,nan,0,0.0,0,0.0
L01878,Branch Walk-in,19,Female,Student,54607.89,Single,British Columbia,Chequing Account,3,15.88,1,108,2,1,1,0,Email,0.82,High,1,Chequing Account,1346,261.98,31,8121.5
L01879,Referral,63,Female,Full-time,25441.32,Single,Quebec,Chequing Account,5,19.72,1,71,1,1,0,0,Call,0.59,Medium,0,nan,0,0.0,0,0.0
L01880,Branch Walk-in,53,Female,Part-time,100898.74,Married,Ontario,Chequing Account,3,11.56,3,78,0,0,0,1,Website,0.968,High,1,Chequing Account,1854,255.1,55,14030.66
L01881,Branch Walk-in,67,Female,Part-time,72928.67,Divorced,Alberta,Chequing Account,2,6.87,1,79,3,1,0,0,Branch,0.84,High,1,Chequing Account,8021,34.67,38,1317.27
L01882,Partnership,26,Male,Unemployed,63299.05,Married,Ontario,Chequing Account,5,21.85,2,117,0,1,0,0,Call,0.634,High,0,nan,0,0.0,0,0.0
L01883,Branch Walk-in,19,Female,Unemployed,84616.46,Single,Manitoba,Credit Card,2,13.67,6,22,1,0,0,1,Email,0.852,High,1,Credit Card,1093,253.67,21,5327.14
L01884,Social Media,19,Female,Self-employed,93678.95,Married,Alberta,Mortgage,3,11.69,3,33,3,1,0,1,Website,0.739,High,1,Mortgage,2329,188.71,31,5850.15
L01885,Online Ad,35,Female,Full-time,76232.43,Single,Nova Scotia,Investment,5,24.66,7,51,0,0,1,1,Website,0.574,Medium,1,Investment,4812,192.88,31,5979.15
L01886,Branch Walk-in,34,Male,Full-time,74697.5,Married,Quebec,Chequing Account,1,7.59,4,77,0,0,0,0,Call,0.866,High,1,Chequing Account,4383,230.15,31,7134.68
L01887,Online Ad,58,Male,Full-time,42046.76,Single,Quebec,Credit Card,3,19.34,9,63,1,1,1,0,Website,0.459,Medium,0,nan,0,0.0,0,0.0
L01888,Online Ad,25,Male,Unemployed,57874.26,Single,Ontario,Mortgage,5,22.95,5,38,1,0,0,0,Branch,0.457,Medium,0,nan,0,0.0,0,0.0
L01889,Social Media,51,Male,Part-time,91815.64,Single,Ontario,Chequing Account,4,13.71,9,1,1,1,1,0,Email,0.747,High,1,Chequing Account,2893,123.65,32,3956.96
L01890,Partnership,51,Male,Full-time,74000.17,Single,British Columbia,Chequing Account,1,19.68,9,62,2,0,0,0,Email,0.735,High,1,Chequing Account,588,263.57,26,6852.78
L01891,Online Ad,22,Male,Student,105744.94,Married,Manitoba,Mortgage,5,28.41,5,54,1,2,1,0,Call,0.712,High,1,Mortgage,2459,196.14,35,6864.98
L01892,Referral,61,Male,,96864.08,Married,Quebec,Credit Card,2,29.68,3,31,0,0,0,0,Website,0.847,High,1,Credit Card,1043,29.36,52,1526.61
L01893,Social Media,46,Male,Student,24774.58,Single,Ontario,Mortgage,2,15.88,3,101,2,0,0,0,Email,0.252,Low,1,Mortgage,4162,126.58,38,4810.2
L01894,Online Ad,45,Female,Part-time,85990.73,Single,British Columbia,Chequing Account,6,14.64,6,3,3,2,0,0,Website,0.656,High,1,Chequing Account,4184,193.29,49,9471.08
L01895,Branch Walk-in,33,Female,Part-time,74347.2,Married,Alberta,Chequing Account,3,8.86,6,75,1,0,0,0,Website,0.815,High,1,Chequing Account,7070,225.92,38,8584.97
L01896,Social Media,31,Male,Part-time,27253.76,Married,Alberta,Chequing Account,3,15.1,4,51,0,1,0,0,Email,0.383,Medium,0,nan,0,0.0,0,0.0
L01897,Branch Walk-in,69,Female,Part-time,23012.2,Single,Nova Scotia,Chequing Account,1,5.39,5,72,0,0,1,1,Website,0.601,High,1,Chequing Account,6619,295.34,57,16834.55
L01898,Online Ad,19,Female,Full-time,56731.4,Single,Ontario,Chequing Account,4,13.23,5,13,1,0,0,0,Email,0.672,High,1,Chequing Account,8913,201.47,45,9066.28
L01899,Referral,57,Male,Full-time,64594.39,Single,Alberta,Credit Card,5,19.61,6,70,0,1,1,0,Website,0.996,High,1,Credit Card,5088,28.08,13,365.08
L01900,Social Media,21,Male,Full-time,93700.9,Married,Ontario,Credit Card,4,22.55,2,108,0,1,0,0,Call,0.816,High,1,Credit Card,8603,292.29,45,13153.23
L01901,Branch Walk-in,69,Male,Unemployed,47310.61,Single,Alberta,Investment,3,8.33,5,19,1,1,0,0,Email,0.868,High,1,Investment,2629,290.79,45,13085.54
L01902,Online Ad,58,Female,Part-time,,Married,Alberta,Credit Card,3,15.94,6,87,1,1,0,0,Call,0.831,High,1,Credit Card,5010,192.03,25,4800.8
L01903,Social Media,69,Male,Self-employed,91225.92,Married,Quebec,Investment,0,15.85,6,20,2,0,0,1,Call,0.655,High,1,Investment,1078,123.44,29,3579.65
L01904,Online Ad,48,Female,Student,70826.44,Married,Alberta,Mortgage,0,11.23,5,37,0,2,1,1,Call,0.69,High,1,Mortgage,3519,146.86,33,4846.48
L01905,Social Media,43,Female,Unemployed,84065.1,Single,Ontario,Investment,4,11.72,3,2,1,1,0,0,Email,0.617,High,0,nan,0,0.0,0,0.0
